APPLOG - 2018-04-25 14:39:05 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>login/cek_login/<br><b>User ID:</b>6<br><b>Username:</b>Bahar<br><b>Role ID:</b>4<br><b>Data:</b>Bahar|berhasil login|
APPLOG - 2018-04-25 14:39:06 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>6<br><b>Username:</b>Bahar<br><b>Role ID:</b>4<br><b>Data:</b>Bahar|masuk ke halaman dashboard|
APPLOG - 2018-04-25 14:39:30 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>6<br><b>Username:</b>Bahar<br><b>Role ID:</b>4<br><b>Data:</b>Bahar|masuk ke halaman list project|
APPLOG - 2018-04-25 14:39:36 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000030/<br><b>User ID:</b>6<br><b>Username:</b>Bahar<br><b>Role ID:</b>4<br><b>Data:</b>Bahar|masuk ke halaman update project|
APPLOG - 2018-04-25 14:39:43 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>6<br><b>Username:</b>Bahar<br><b>Role ID:</b>4<br><b>Data:</b>Bahar|masuk ke halaman list project|
APPLOG - 2018-04-25 14:39:50 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000027/<br><b>User ID:</b>6<br><b>Username:</b>Bahar<br><b>Role ID:</b>4<br><b>Data:</b>Bahar|masuk ke halaman update project|
APPLOG - 2018-04-25 14:40:10 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/pmo_update/<br><b>User ID:</b>6<br><b>Username:</b>Bahar<br><b>Role ID:</b>4<br><b>Data:</b>Bahar|update data berhasil|P000000027|4|6|12|4|2018-04-09|2018-04-20|<p><br></p>|1|2018-04-25 14:40:10|6|0||
APPLOG - 2018-04-25 14:40:10 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>6<br><b>Username:</b>Bahar<br><b>Role ID:</b>4<br><b>Data:</b>Bahar|masuk ke halaman list project|
APPLOG - 2018-04-25 14:41:51 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/inactive_project/<br><b>User ID:</b>6<br><b>Username:</b>Bahar<br><b>Role ID:</b>4<br><b>Data:</b>Bahar|masuk ke halaman inactive project|
APPLOG - 2018-04-25 15:24:49 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>6<br><b>Username:</b>Bahar<br><b>Role ID:</b>4<br><b>Data:</b>Bahar|masuk ke halaman dashboard|
APPLOG - 2018-04-25 15:24:56 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>update_info/<br><b>User ID:</b>6<br><b>Username:</b>Bahar<br><b>Role ID:</b>4<br><b>Data:</b>Bahar|masuk ke halaman update info update sistem|
